stop_id,stop_name,stop_lat,stop_lon
BS_1100_100000001,종로2가사거리,37.569808,126.987752
BS_1100_100000002,창경궁.서울대학교병원,37.579433,126.996522
BS_1100_100000003,명륜3가.성대입구,37.582581,126.998251
BS_1100_100000004,종로2가.삼일교,37.568579274,126.987613098
BS_1100_100000005,혜화동로터리.여운형활동터,37.586243,127.001744
BS_1100_100000006,경기상고,37.587550216,126.969363455
BS_1100_100000007,신교동,37.583295523,126.970262687
BS_1100_100000008,경기상고,37.587190786,126.96977011
BS_1100_100000009,경복고교,37.58516,126.970884
BS_1100_100000010,청운중학교,37.587809,126.972673
BS_1100_100000011,자하문고개.윤동주문학관,37.592186618,126.967126181
BS_1100_100000012,자하문고개.윤동주문학관,37.592335315,126.967190663
BS_1100_100000013,청운중학교,37.588421,126.972266
BS_1100_100000014,경복고교,37.585067,126.971404
BS_1100_100000015,통인시장종로구보건소,37.580325703,126.97105004
BS_1100_100000016,통인시장종로구보건소,37.580513212,126.971385108
BS_1100_100000017,효자동,37.583091043,126.970620971
BS_1100_100000018,사직단.어린이도서관,37.575135532,126.967990715
BS_1100_100000019,경복궁역1번출구,37.576162,126.971415
BS_1100_100000020,경복궁역,37.577038,126.972198
BS_1100_100000021,경복궁역,37.577671386,126.972282889
BS_1100_100000022,경복궁,37.575576789,126.97874715
BS_1100_100000023,KT광화문지사,37.572209741,126.977418739
BS_1100_100000025,광화문,37.570045,126.976408
BS_1100_100000028,서울역사박물관.경교장.강북삼성병원,37.570023,126.971248
BS_1100_100000029,광화문.금호아시아나본관앞,37.570332,126.972839
BS_1100_100000030,광화문,37.570365,126.975837
BS_1100_100000031,세종문화회관,37.573648,126.976997
BS_1100_100000032,서울경찰청.경복궁역,37.575744664,126.971484299
BS_1100_100000033,사직단,37.574855346,126.968188961
BS_1100_100000034,광화문.광화문빌딩,37.569503552,126.976863742
BS_1100_100000035,덕성여중고,37.575768,126.981972
BS_1100_100000036,안국역.서울공예박물관,37.576069557,126.983995786
BS_1100_100000037,국민은행세검정지점,37.604662977,126.960888006
BS_1100_100000038,세검정초등학교,37.60250228,126.961219846
BS_1100_100000039,세검정.상명대,37.600477,126.958292
BS_1100_100000040,상명대입구.석파랑,37.599413354,126.958570225
BS_1100_100000041,하림각,37.598133066,126.961706823
BS_1100_100000042,자하문터널입구.석파정,37.595593512,126.963643499
BS_1100_100000043,부암동주민센터.무계원,37.592767083,126.964222199
BS_1100_100000044,부암동주민센터.무계원,37.592786173,126.965141921
BS_1100_100000045,자하문터널입구.석파정,37.595557571,126.963977592
BS_1100_100000046,하림각,37.598147648,126.962215308
BS_1100_100000047,상명대입구.세검정교회,37.599616332,126.959240565
BS_1100_100000048,세검정.상명대,37.600648,126.959155
BS_1100_100000049,세검정초등학교,37.602268067,126.961432889
BS_1100_100000051,국민은행세검정지점,37.604846,126.961195
BS_1100_100000053,승가사입구,37.611584414,126.956305998
BS_1100_100000054,구기동현대빌라,37.610035504,126.95645755
BS_1100_100000055,구기터널.삼성출판박물관,37.608609894,126.956210329
BS_1100_100000056,구기터널.삼성출판박물관,37.608305403,126.956416651
BS_1100_100000057,구기동,37.606964447,126.958529793
BS_1100_100000058,구기동,37.6070088,126.959101748
BS_1100_100000059,승가사입구,37.61148,126.956482
BS_1100_100000060,갑을씨티텔앞,37.604370971,126.963535029
BS_1100_100000061,평창파출소,37.605322366,126.966043291
BS_1100_100000062,평창동주민센터,37.606607375,126.969566309
BS_1100_100000063,일성아파트,37.608873,126.972925
BS_1100_100000064,롯데아파트,37.61039,126.976317
BS_1100_100000065,롯데아파트,37.610248,126.976652
BS_1100_100000066,벽산평창힐스아파트,37.60819,126.972797
BS_1100_100000067,예능교회,37.606517,126.97
BS_1100_100000068,서울예술고등학교.평창동주민센터,37.605778761,126.967627611
BS_1100_100000069,화정박물관,37.604503818,126.964810266
BS_1100_100000072,독립문역.서대문형무소역사관,37.573395,126.959322
BS_1100_100000073,서대문.서울시교육청,37.568253806,126.964527336
BS_1100_100000075,독립문,37.571342,126.96143
BS_1100_100000076,창덕궁.서울돈화문국악당,37.577540575,126.988539448
BS_1100_100000077,서린동.SK서린빌딩,37.569263,126.980095
BS_1100_100000078,청계1가.광교,37.568684389,126.984926719
BS_1100_100000079,청계2가.수표교,37.568442,126.99082
BS_1100_100000080,청계4가.세운교,37.568927,126.996555
BS_1100_100000081,청계5가.광장시장,37.569451279,126.99979736
BS_1100_100000102,원남동,37.574532506,126.997338336
BS_1100_100000103,창덕궁.우리소리박물관,37.577272,126.988954
BS_1100_100000104,안국역.인사동,37.575798,126.984133
BS_1100_100000105,조계사.종로경찰서,37.57252231,126.98315558
BS_1100_100000106,조계사.종로경찰서,37.572485809,126.982825889
BS_1100_100000107,안국동,37.574610567,126.982720112
BS_1100_100000108,종로5가.효제동.김상옥의거터,37.5745,127.00223
BS_1100_100000109,종로5가.효제초등학교,37.572879013,127.002144228
BS_1100_100000116,종로5가,37.570559602,127.002182652
BS_1100_100000117,청계6가.동대문시장,37.56983511,127.00284942
BS_1100_100000118,동대문,37.571726237,127.008412625
BS_1100_100000119,충신동,37.574022351,127.006278812
BS_1100_100000121,충신동,37.574460278,127.006343381
BS_1100_100000122,현대그룹빌딩,37.575912,127.000807
BS_1100_100000123,방송통신대.이화장,37.578043,127.002437
BS_1100_100000124,혜화역.마로니에공원,37.581119487,127.002276936
BS_1100_100000125,혜화역.서울대병원입구,37.580957,127.00185
BS_1100_100000126,방송통신대.이화장,37.577788,127.001977
BS_1100_100000127,이화동(이화장),37.576119355,127.000695149
BS_1100_100000128,창경궁.서울대학교병원,37.578827995,126.996871714
BS_1100_100000129,이화동(이화장),37.575937291,127.003270817
BS_1100_100000130,혜화동로터리,37.58558,127.000687
BS_1100_100000131,명륜동2가.성균관대입구,37.583417076,126.999341272
BS_1100_100000132,혜화역.서울연극센터(장면총리가옥),37.584030685,127.001460883
BS_1100_100000133,혜화역.동성중고(장면총리가옥),37.584532942,127.001556158
BS_1100_100000135,종로구민회관.창신동두산아파트,37.574092679,127.015555528
BS_1100_100000139,동묘앞역6번출구,37.571684957,127.015601443
BS_1100_100000140,동묘앞역5번출구,37.571922149,127.015945049
BS_1100_100000142,창신3동주민센터,37.578413,127.015178
BS_1100_100000143,숭인1동주민센터.창신역4번출구,37.578625,127.015462
BS_1100_100000144,동묘역.롯데캐슬천지인,37.574180052,127.015802352
BS_1100_100000147,신설동로터리,37.575695,127.022841
BS_1100_100000150,구기동현대빌라,37.609682,126.956622
BS_1100_100000151,광장시장,37.569470801,126.997743795
BS_1100_100000153,혜화경찰서,37.572580745,126.997478788
BS_1100_100000154,서울역사박물관.김구집무실(경교장),37.569900339,126.972131808
BS_1100_100000155,청계3가.관수교,37.568688792,126.99377937
BS_1100_100000156,청계6가.버들다리,37.569930387,127.008037707
BS_1100_100000157,청계7가.맑은내다리,37.57004,127.013093
BS_1100_100000158,청계8가.영도교,37.570895,127.018128
BS_1100_100000159,원남동사거리,37.575761,126.998113
BS_1100_100000165,숭인동,37.574272153,127.020437341
BS_1100_100000169,조계사,37.572800338,126.983160923
BS_1100_100000174,세종문화회관,37.573222,126.977009
BS_1100_100000179,이화동(이화장),37.576257,127.002955
BS_1100_100000180,상명대정문,37.601619718,126.955020718
BS_1100_100000181,이북오도청,37.612723,126.955973
BS_1100_100000188,상명대입구.세검정교회,37.599443512,126.959792196
BS_1100_100000189,상명대입구.석파랑,37.599571813,126.95819414
BS_1100_100000190,종로중부새마을금고,37.57241749,127.006591139
BS_1100_100000191,신설동로터리.신한은행앞.서울풍물시장,37.574258,127.023192
BS_1100_100000192,청계2가.삼일교,37.568344,126.986988
BS_1100_100000193,청계8가.황학교,37.57213073,127.022787005
BS_1100_100000329,광화문,37.570337,126.975569
BS_1100_100000330,종로1가,37.57037,126.980129
BS_1100_100000333,종로2가,37.570083,126.986463
BS_1100_100000334,종로3가,37.570635,126.99321
BS_1100_100000335,종로3가,37.570102425,126.990993219
BS_1100_100000336,종로4가,37.57047,126.996252
BS_1100_100000338,동대문종합시장종로6가,37.570862,127.003292
BS_1100_100000343,경복궁역,37.576178094,126.971505645
BS_1100_100000344,경복궁역,37.575816,126.97168
BS_1100_100000345,안국역,37.576613751,126.985229602
BS_1100_100000346,안국역,37.57631851,126.985505983
BS_1100_100000347,창덕궁,37.577519,126.988901
BS_1100_100000348,성대입구,37.583283,126.999229
BS_1100_100000355,평창동삼성아파트,37.611179,126.978799
BS_1100_100000360,창경궁.고궁호텔.메이플레이스호텔,37.576558161,126.997449217
BS_1100_100000362,영천시장,37.569515943,126.963179665
BS_1100_100000363,영천시장,37.569939133,126.962532958
BS_1100_100000364,동묘앞역2번출구,37.573643,127.017524
BS_1100_100000365,동대문역.흥인지문,37.572102,127.012453
BS_1100_100000366,동묘앞,37.573852176,127.018589326
BS_1100_100000367,동묘앞,37.574281529,127.019528573
BS_1100_100000368,서대문역사거리.적십자병원,37.567108152,126.96758785
BS_1100_100000369,안국역.서울공예박물관,37.576413,126.984888
BS_1100_100000370,안국역.인사동,37.576332931,126.985536549
BS_1100_100000371,창덕궁,37.577228088,126.989003117
BS_1100_100000376,강북삼성병원,37.568145927,126.968600483
BS_1100_100000379,서울역사박물관.경희궁앞,37.569515,126.97076
BS_1100_100000380,서울역사박물관.경희궁앞,37.569135,126.97038
BS_1100_100000384,광화문,37.570142,126.976357
BS_1100_100000385,광화문,37.570267935,126.977889486
BS_1100_100000386,종로1가,37.570148246,126.981066093
BS_1100_100000387,종로1가,37.570271,126.98163
BS_1100_100000388,종로2가,37.57017,126.984991
BS_1100_100000389,종로2가,37.570238,126.986536
BS_1100_100000390,종로3가.탑골공원,37.570256771,126.989268991
BS_1100_100000391,종로3가.탑골공원,37.570360544,126.989987775
BS_1100_100000392,종로4가.종묘,37.570506997,126.99472189
BS_1100_100000393,종로4가.종묘,37.570637,126.995396
BS_1100_100000394,종로5가.광장시장,37.570787,126.999061
BS_1100_100000395,종로5가.광장시장,37.570931,126.999606
BS_1100_100000396,종로6가.동대문종합시장,37.57101,127.004464
BS_1100_100000397,종로6가.동대문종합시장,37.571127234,127.005713736
BS_1100_100000398,동대문역.흥인지문,37.572449,127.013813
BS_1100_100000399,동대문역JW메리어트동대문호텔,37.570859,127.009186
BS_1100_100000400,청와대,37.582684814,126.973760031
BS_1100_100000407,대학로,37.58189612,127.002120416
BS_1100_100000408,창경궁,37.579159635,126.99641631
BS_1100_100000409,창덕궁,37.577530171,126.990177604
BS_1100_100000410,인사동.북촌,37.575895022,126.983797787
BS_1100_100000411,경복궁.국립민속박물관,37.579447396,126.979446549
BS_1100_100000412,세종문화회관,37.573219,126.977004
BS_1100_100000413,남인사마당,37.571319172,126.987428638
BS_1100_100000414,창덕궁.돈화문국악당,37.577431,126.991233
BS_1100_100000415,국립고궁박물관,37.578928,126.973979
BS_1100_100000416,청와대,37.582971,126.973762
BS_1100_100000417,춘추문,37.583126,126.979657
BS_1100_100000418,경복궁.국립민속박물관,37.579407,126.97959
BS_1100_100900002,경진빌라,37.601864091,126.957948226
BS_1100_100900003,혜화초등학교,37.587253228,126.999851664
BS_1100_100900004,명륜시장.성대후문,37.58872461,126.995230516
BS_1100_100900005,오거리.한옥마을입구,37.579537,126.969561
BS_1100_100900006,완성빌라,37.603339971,126.957666516
BS_1100_100900007,삼청파출소,37.581813662,126.981251049
